pathname,timestamp,arousal,valence,emotion_sentence,familiarity_rating,participant_id,film,composer,song_name,year,soundtrack,director,genre,ISRC,num_timestamps,timestamp_order,emotion_subsentence,split_emotion_sentence,matched_keyword_clean,emotion_group_id,file_path
/audioFolder10//film-score-emotion-survey/audioFolder10/alexanderhamilton_hamilton_sample_1.mp3,2.80711862496478,0.0,0.0,You could tell that there would have been a dramatic scene accompanying this and therefore it mad me feel on edge.,never-heard-this,_eju6op5qu,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,2,would have been a dramatic,have been a dramatic scene accompanying,dramatic,3.0,alexanderhamiltonhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexanderhamilton_hamilton_sample_1.mp3,7.66796506058045,0.641,-0.123,You could tell that there would have been a dramatic scene accompanying this and therefore it mad me feel on edge.,never-heard-this,_eju6op5qu,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,3,scene accompanying this and therefore,this refore it mad me,dramatic,3.0,alexanderhamiltonhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexanderhamilton_hamilton_sample_1.mp3,8.5904649196957,0.0,0.0,You could tell that there would have been a dramatic scene accompanying this and therefore it mad me feel on edge.,never-heard-this,_eju6op5qu,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,4,it mad me feel on edge.,on edge.,on\ edge,3.0,alexanderhamiltonhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexanderhamilton_hamilton_sample_2.mp3,5.05404847724856,0.831,0.897,"it feels like motivation, like a crucial point before making a big choice, empowering, courage, strength",never-heard-this,_hkwu0v6ct,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,1,"it feels like motivation, like","it motivation, a",motivation,2.0,alexanderhamiltonhamiltonsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexanderhamilton_hamilton_sample_2.mp3,9.73996329328636,0.931,0.887,"it feels like motivation, like a crucial point before making a big choice, empowering, courage, strength",never-heard-this,_hkwu0v6ct,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,2,a crucial point before making,crucial before making a big,crucial,2.0,alexanderhamiltonhamiltonsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexanderhamilton_hamilton_sample_2.mp3,11.708979373247,0.281,0.692,"it feels like motivation, like a crucial point before making a big choice, empowering, courage, strength",never-heard-this,_hkwu0v6ct,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,3,"a big choice, empowering, courage, strength","choice, empowering, courage, strength",empowering,2.0,alexanderhamiltonhamiltonsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/capharnaum_khaled_mouzanar-from-capharnaum-original-motion-picture-soundtrack_sample_2.mp3,10.7093333333333,-0.252,-0.22,"Overall this extract felt sad and dramatic. The first marker is where I felt the most sad. 
The second marker is where I felt the most defeated or helpless. This feels like a sad ending. ",never-heard-this,_wln2pvrai,Capernaum,Khaled Mouzanar,Capernaum,2018,0,Nadine Labaki,Drama Music,FR9W11818769,1,1,Overall this extract felt sad,this extract felt sad dramatic. first marker is where most sad.,sad,4.0,capharnaumkhaledmouzanarfromcapharnaumoriginalmotionpicturesoundtracksample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/capharnaum_khaled_mouzanar-from-capharnaum-original-motion-picture-soundtrack_sample_2.mp3,14.5653333333333,-0.597,-0.665,"Overall this extract felt sad and dramatic. The first marker is where I felt the most sad. 
The second marker is where I felt the most defeated or helpless. This feels like a sad ending. ",never-heard-this,_wln2pvrai,Capernaum,Khaled Mouzanar,Capernaum,2018,0,Nadine Labaki,Drama Music,FR9W11818769,1,2,dramatic. The,second marker is where most defeated or helpless. This a sad ending.,sad,4.0,capharnaumkhaledmouzanarfromcapharnaumoriginalmotionpicturesoundtracksample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/capharnaum_khaled_mouzanarfromcapharnaumoriginalmotionpicturesoundtrack_sample_2.mp3,0.779367408881879,0.305,0.32,"It is just one feeling, even though there is a bass chord added in the middle. It is like looking onto a bright landscape",familiar-feeling-not-familiar,_z1rzh278d,Capernaum,Khaled Mouzanar,Capernaum,2018,0,Nadine Labaki,Drama Music,FR9W11818769,1,1,"It is just one feeling, even though there is a bass chord added in the middle. It is like looking onto a bright landscape","It is one, even though re is a bass chord added in middle. It is looking onto a bright lscape",,,capharnaumkhaledmouzanarfromcapharnaumoriginalmotionpicturesoundtracksample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtrackmakethefirstmovekrisbowers_sample_2.mp3,8.592,0.242,0.815,"Don't think mood changed, very uplifting",familiar,_712wd9nfj,Green Book,Kris Bowers,Make The First Move,2018,0,Peter Farrelly,Drama Music,FR9W11818769,1,1,"Don't think mood changed, very uplifting","Don't think mood changed, uplifting",uplifting,8.0,greenbooksoundtrackmakethefirstmovekrisbowerssample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtracksolongloversislandthebluejays_sample_2.mp3,2.168,0.208,0.73,The music made me feel happy. The second marker is when i realised that I recognised the song.,familiar,_265vz9td6,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama Music,FR9W11818769,1,1,The music made me feel happy.,music happy.,happy,8.0,greenbooksoundtracksolongloversislandthebluejayssample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtracksolongloversislandthebluejays_sample_2.mp3,5.48,0.538,0.725,The music made me feel happy. The second marker is when i realised that I recognised the song.,familiar,_265vz9td6,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama Music,FR9W11818769,1,2,The second marker is when i,recognition,recognition,1.0,greenbooksoundtracksolongloversislandthebluejayssample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtracksolongloversislandthebluejays_sample_2.mp3,10.16,0.178,0.73,The music made me feel happy. The second marker is when i realised that I recognised the song.,familiar,_265vz9td6,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama Music,FR9W11818769,1,3,realised that I recognised the song. ,Happy,happy,8.0,greenbooksoundtracksolongloversislandthebluejayssample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtracksolongloversislandthebluejays_sample_2.mp3,4.20963651732883,-0.588,0.843,"I loved the oooohs at the first and third marker, made me feel very relaxed but groovy at the same time. The bit at the second marker I didn't like as much.",familiar-feeling-not-familiar,_edx1s71ct,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama Music,FR9W11818769,1,1,I loved the oooohs at the,"I loved oooohs at first third marker, made",loved,0.0,greenbooksoundtracksolongloversislandthebluejayssample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtracksolongloversislandthebluejays_sample_2.mp3,9.05868244575937,-0.178,-0.358,"I loved the oooohs at the first and third marker, made me feel very relaxed but groovy at the same time. The bit at the second marker I didn't like as much.",familiar-feeling-not-familiar,_edx1s71ct,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama Music,FR9W11818769,1,2,"marker, made me feel very relaxed",me relaxed but groovy at same time.,relaxed,0.0,greenbooksoundtracksolongloversislandthebluejayssample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtracksolongloversislandthebluejays_sample_2.mp3,11.6019588616512,-0.608,0.742,"I loved the oooohs at the first and third marker, made me feel very relaxed but groovy at the same time. The bit at the second marker I didn't like as much.",familiar-feeling-not-familiar,_edx1s71ct,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama Music,FR9W11818769,1,3,groovy at the same time. The bit at the,bit at second marker I didn't as much.,groovy,8.0,greenbooksoundtracksolongloversislandthebluejayssample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/jos-slovick-i-am-a-poor-wayfaring-stranger-from-1917-a-cappella-1917-ost_sample_1.mp3,6.61954758901793,0.093,0.897,almost mystic - going on a journey. has got the world ahead of them to discover/huge journey ahead of them but doesnt feel positive about it. almost scared.,never-heard-this,_o8em397t4,1917,Jos Slovick,I Am A Poor Wayfaring Stranger,2019,1,Sam Mendes,Action Drama War,USSM12000717,1,1,almost mystic - going on a journey. has got the world ahead of them to discover/huge journey ahead of them,almost mystic - going on a journey. has got world ahead of m to discover/huge journey ahead of m but doesnt positive about it. almost scared.,scared,5.0,josslovickiamapoorwayfaringstrangerfrom1917acappella1917ostsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/josslovickiamapoorwayfaringstrangerfrom1917acappella1917ost_sample_2.mp3,3.45396825396826,0.373,0.001,"Starts quite strong and positive 
The long note 'father' tails away and left with a much softer quieter, calmer note",never-heard-this,_8x1wc3nr6,1917,Jos Slovick,I Am A Poor Wayfaring Stranger,2019,1,Sam Mendes,Action Drama War,FR9W11818769,1,1,Starts quite strong,Starts quite strong positive long,positive,8.0,josslovickiamapoorwayfaringstrangerfrom1917acappella1917ostsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/josslovickiamapoorwayfaringstrangerfrom1917acappella1917ost_sample_2.mp3,5.81659863945577,0.032,0.181,"Starts quite strong and positive 
The long note 'father' tails away and left with a much softer quieter, calmer note",never-heard-this,_8x1wc3nr6,1917,Jos Slovick,I Am A Poor Wayfaring Stranger,2019,1,Sam Mendes,Action Drama War,FR9W11818769,1,2,"positive 
The long note 'father' tails away",note 'far' tails a left with,tails,7.0,josslovickiamapoorwayfaringstrangerfrom1917acappella1917ostsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/josslovickiamapoorwayfaringstrangerfrom1917acappella1917ost_sample_2.mp3,9.35183673469386,0.188,0.006,"Starts quite strong and positive 
The long note 'father' tails away and left with a much softer quieter, calmer note",never-heard-this,_8x1wc3nr6,1917,Jos Slovick,I Am A Poor Wayfaring Stranger,2019,1,Sam Mendes,Action Drama War,FR9W11818769,1,3,"left with a much softer quieter, calmer note","a much softer quieter, calmer note",softer,0.0,josslovickiamapoorwayfaringstrangerfrom1917acappella1917ostsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/khaledmouzanarzeyn_capernaum_sample_1.mp3,0.0,-0.746,-0.379,Very homogeneous extract. It has a sense of sadness,never-heard-this,_mw14wekne,Capernaum,Khaled Mouzanar,Capernaum,2018,0,Nadine Labaki,Drama,FR9W11818783,1,1,Very homogeneous extract. It has a sense of sadness,homogeneous extract. It has a sense of sadness,homogeneous,1.0,khaledmouzanarzeyncapernaumsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/sparkleyournameradwimps_sample_1.mp3,3.74433333333333,0.163,0.315,"tension building in the first half of the song, followed by a happy release",never-heard-this,_9w25vtbrx,Your Name.,Radwimps,Sparkle,2016,1,Makoto Shinkai,Animation Drama Fantasy,FR9W11818769,1,1,tension building in the,tension building in first half of,tension,3.0,sparkleyournameradwimpssample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/sparkleyournameradwimps_sample_1.mp3,11.563,-0.237,0.21,"tension building in the first half of the song, followed by a happy release",never-heard-this,_9w25vtbrx,Your Name.,Radwimps,Sparkle,2016,1,Makoto Shinkai,Animation Drama Fantasy,FR9W11818769,1,2,"half of the song, followed by a happy release","song, followed by a happy release",happy,8.0,sparkleyournameradwimpssample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/sparkleyournameradwimps_sample_1.mp3,0.518847006651885,0.6,0.381,"Overall, happy but slightly aggressive. Danceable on account of the 3/4 lilt. First marker intriguing build up, second marker high energy climax, third marker surprising pull back to the piano solo",never-heard-this,_ske6mg95q,Your Name.,Radwimps,Sparkle,2016,1,Makoto Shinkai,Animation Drama Fantasy,FR9W11818769,1,1,"Overall, happy",", happy but slightly aggressive. Danceable on account of 3/4",happy,8.0,sparkleyournameradwimpssample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/sparkleyournameradwimps_sample_1.mp3,8.50110864745011,0.755,0.191,"Overall, happy but slightly aggressive. Danceable on account of the 3/4 lilt. First marker intriguing build up, second marker high energy climax, third marker surprising pull back to the piano solo",never-heard-this,_ske6mg95q,Your Name.,Radwimps,Sparkle,2016,1,Makoto Shinkai,Animation Drama Fantasy,FR9W11818769,1,2,slightly aggressive. Danceable on account of the 3/4 lilt,"lilt. First marker intriguing build up, second marker high energy climax,",high\ energy,,sparkleyournameradwimpssample1mp3.mp3
